net,length_um
u_MAC24.mac_weight\[0\],43.38µm
clknet_leaf_69_clk,43.26µm
clknet_leaf_63_clk,43.2µm
_04992_,43.09µm
mac_wt_in1\[5\],42.92µm
net649,42.9µm
net259,42.875µm
mac_acc_in3\[78\],42.84µm
_00052_,42.8µm
net348,42.76µm
mac_acc_in1\[36\],42.695µm
_00506_,42.58µm
clknet_leaf_5_clk,42.58µm
u_MAC44.mac_weight\[0\],42.52µm
net448,42.5µm
_00380_,42.465µm
mac_acc_in1\[99\],42.22µm
clknet_leaf_82_clk,42.2µm
u_MAC14.mac_weight\[3\],42.16µm
mac_wt_in1\[24\],42.08µm
mac_wt_in2\[11\],41.88µm
net338,41.85µm
_00421_,41.845µm
_05628_,41.8µm
_00507_,41.72µm
net207,41.56µm
_00614_,41.52µm
_05367_,41.46µm
_00529_,41.2µm
mac_wt_in2\[8\],41.16µm
clknet_leaf_15_clk,41.16µm
u_MAC24.mac_weight\[3\],41.08µm
net379,40.84µm
_00552_,40.83µm
net229,40.64µm
clknet_leaf_77_clk,40.2µm
mac_data_in1\[26\],40µm
clknet_leaf_14_clk,39.9µm
net291,39.85µm
mac_wt_in2\[9\],39.8µm
_01220_,39.78µm
_00128_,39.745µm
_02257_,39.54µm
_03489_,39.36µm
net327,39.04µm
clknet_leaf_33_clk,39.02µm
clknet_leaf_64_clk,38.7µm
u_MAC24.mac_weight\[1\],38.64µm
net239,38.54µm
mac_wt_in2\[18\],38.52µm
_02704_,38.5µm
mac_acc_in3\[36\],38.44µm
_00332_,38.28µm
clknet_leaf_0_clk,38.24µm
net836,38µm
_00420_,37.905µm
net589,37.875µm
clknet_leaf_67_clk,37.72µm
_03428_,37.52µm
_00459_,37.44µm
mac_acc_in2\[1\],37.12µm
mac_wt_in3\[8\],36.98µm
_00036_,36.96µm
_01988_,36.8µm
net177,36.75µm
_02729_,36.48µm
_00097_,36.405µm
clknet_leaf_51_clk,36.36µm
net602,36.32µm
clknet_leaf_29_clk,36.32µm
_00550_,36.16µm
_00679_,35.98µm
_05388_,35.98µm
net383,35.9µm
mac_acc_in1\[4\],35.68µm
mac_wt_in3\[0\],35.62µm
_00548_,35.46µm
net537,35.46µm
_05391_,35.42µm
mac_acc_in2\[2\],35.36µm
_00751_,35.18µm
_05818_,35.18µm
_00913_,35.02µm
mac_acc_in3\[38\],34.88µm
mac_data_in3\[3\],34.835µm
mac_acc_in2\[15\],34.8µm
_03471_,34.76µm
mac_data_in2\[11\],34.74µm
mac_wt_in2\[13\],34.74µm
net49,34.36µm
mac_wt_in3\[1\],34.26µm
_03792_,34.22µm
mac_wt_in1\[16\],34.18µm
_05419_,34.14µm
_01141_,34.06µm
mac_data_in2\[23\],34.02µm
_03993_,33.96µm
_03072_,33.9µm
_01584_,33.845µm
_05795_,33.78µm
_01927_,33.68µm
_02098_,33.68µm
_02356_,33.68µm
net225,33.5µm
mac_wt_in1\[17\],33.3µm
net297,33.3µm
_00736_,33.18µm
net278,33.18µm
net848,33.16µm
mac_data_in3\[4\],33.125µm
_00181_,33.095µm
_01946_,33.075µm
mac_data_in2\[22\],33.02µm
_01815_,33µm
net37,32.88µm
net303,32.815µm
_04628_,32.7µm
_00262_,32.66µm
net652,32.44µm
_01098_,32.34µm
net248,32.24µm
net250,32.24µm
mac_acc_in3\[37\],32.18µm
mac_data_in2\[4\],32.16µm
_00549_,32.04µm
_02009_,31.96µm
mac_wt_in1\[4\],31.96µm
