Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_755,VPWR,li1,353.0500,388.9600,1.799962
FILLER_138_752,VPWR,li1,352.1300,388.9600,1.799962
FILLER_138_749,VPWR,li1,350.7500,388.9600,1.799962
FILLER_138_746,VPWR,li1,349.3700,388.9600,1.799962
FILLER_138_743,VPWR,li1,347.9900,388.9600,1.799962
FILLER_138_740,VPWR,li1,346.6100,388.9600,1.799962
FILLER_138_737,VPWR,li1,345.2300,388.9600,1.799962
FILLER_138_734,VPWR,li1,343.8500,388.9600,1.799962
FILLER_138_731,VPWR,li1,342.4700,388.9600,1.799962
FILLER_138_728,VPWR,li1,341.0900,388.9600,1.799962
FILLER_138_725,VPWR,li1,339.7100,388.9600,1.799962
FILLER_138_722,VPWR,li1,338.3300,388.9600,1.799962
FILLER_138_719,VPWR,li1,336.9500,388.9600,1.799962
FILLER_138_716,VPWR,li1,335.5700,388.9600,1.799962
FILLER_138_713,VPWR,li1,334.1900,388.9600,1.799962
FILLER_138_710,VPWR,li1,332.8100,388.9600,1.799962
FILLER_138_707,VPWR,li1,331.4300,388.9600,1.799962
FILLER_138_704,VPWR,li1,330.0500,388.9600,1.799962
FILLER_138_701,VPWR,li1,328.6700,388.9600,1.799962
FILLER_138_699,VPWR,li1,327.2900,388.9600,1.799956
FILLER_138_696,VPWR,li1,326.3700,388.9600,1.799949
FILLER_138_693,VPWR,li1,324.9900,388.9600,1.799949
FILLER_138_690,VPWR,li1,323.6100,388.9600,1.799940
FILLER_138_687,VPWR,li1,322.2300,388.9600,1.799933
FILLER_138_684,VPWR,li1,320.8500,388.9600,1.799933
FILLER_138_681,VPWR,li1,319.4700,388.9600,1.799924
FILLER_138_678,VPWR,li1,318.0900,388.9600,1.799918
FILLER_138_675,VPWR,li1,316.7100,388.9600,1.799918
FILLER_138_672,VPWR,li1,315.3300,388.9600,1.799911
FILLER_138_669,VPWR,li1,313.9500,388.9600,1.799902
FILLER_138_666,VPWR,li1,312.5700,388.9600,1.799902
FILLER_138_663,VPWR,li1,311.1900,388.9600,1.799892
FILLER_138_660,VPWR,li1,309.8100,388.9600,1.799892
FILLER_138_657,VPWR,li1,308.4300,388.9600,1.799881
FILLER_138_654,VPWR,li1,307.0500,388.9600,1.799881
FILLER_138_651,VPWR,li1,305.6700,388.9600,1.799871
FILLER_138_648,VPWR,li1,304.2900,388.9600,1.799871
FILLER_138_645,VPWR,li1,302.9100,388.9600,1.799860
FILLER_138_643,VPWR,li1,301.5300,388.9600,1.799860
FILLER_138_640,VPWR,li1,300.6100,388.9600,1.799852
FILLER_138_637,VPWR,li1,299.2300,388.9600,1.799852
FILLER_138_585,VPWR,li1,275.3100,388.9600,1.799800
FILLER_138_582,VPWR,li1,273.9300,388.9600,1.799800
FILLER_138_579,VPWR,li1,272.5500,388.9600,1.799799
FILLER_138_576,VPWR,li1,271.1700,388.9600,1.799799
FILLER_138_573,VPWR,li1,269.7900,388.9600,1.799797
FILLER_138_570,VPWR,li1,268.4100,388.9600,1.799797
FILLER_138_567,VPWR,li1,267.0300,388.9600,1.799796
FILLER_138_564,VPWR,li1,265.6500,388.9600,1.799796
FILLER_138_561,VPWR,li1,264.2700,388.9600,1.799795
FILLER_138_558,VPWR,li1,262.8900,388.9600,1.799795
FILLER_138_555,VPWR,li1,261.5100,388.9600,1.799794
FILLER_138_552,VPWR,li1,260.1300,388.9600,1.799793
FILLER_138_549,VPWR,li1,258.7500,388.9600,1.799793
FILLER_138_529,VPWR,li1,249.5500,388.9600,1.799793
FILLER_138_526,VPWR,li1,248.1700,388.9600,1.799794
FILLER_138_523,VPWR,li1,246.7900,388.9600,1.799794
FILLER_138_520,VPWR,li1,245.4100,388.9600,1.799794
FILLER_138_517,VPWR,li1,244.0300,388.9600,1.799794
FILLER_138_483,VPWR,li1,228.1600,388.9600,1.799797
FILLER_138_480,VPWR,li1,227.0100,388.9600,1.799797
