Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_643,VGND,li1,301.5300,386.2400,0.000153
FILLER_138_640,VGND,li1,300.6100,386.2400,0.000160
FILLER_138_637,VGND,li1,299.2300,386.2400,0.000160
FILLER_138_585,VGND,li1,275.3100,386.2400,0.000234
FILLER_138_582,VGND,li1,273.9300,386.2400,0.000234
FILLER_138_579,VGND,li1,272.5500,386.2400,0.000238
FILLER_138_576,VGND,li1,271.1700,386.2400,0.000238
FILLER_138_573,VGND,li1,269.7900,386.2400,0.000243
FILLER_138_570,VGND,li1,268.4100,386.2400,0.000243
FILLER_138_567,VGND,li1,267.0300,386.2400,0.000247
FILLER_138_564,VGND,li1,265.6500,386.2400,0.000247
FILLER_138_561,VGND,li1,264.2700,386.2400,0.000251
FILLER_138_558,VGND,li1,262.8900,386.2400,0.000251
FILLER_138_555,VGND,li1,261.5100,386.2400,0.000254
FILLER_138_552,VGND,li1,260.1300,386.2400,0.000258
FILLER_138_549,VGND,li1,258.7500,386.2400,0.000258
FILLER_138_529,VGND,li1,249.5500,386.2400,0.000270
FILLER_138_526,VGND,li1,248.1700,386.2400,0.000270
FILLER_138_523,VGND,li1,246.7900,386.2400,0.000272
FILLER_138_520,VGND,li1,245.4100,386.2400,0.000274
FILLER_138_517,VGND,li1,244.0300,386.2400,0.000274
FILLER_138_483,VGND,li1,228.1600,386.2400,0.000279
FILLER_138_480,VGND,li1,227.0100,386.2400,0.000279
FILLER_138_477,VGND,li1,225.6300,386.2400,0.000279
FILLER_138_475,VGND,li1,224.2500,386.2400,0.000278
FILLER_138_472,VGND,li1,223.3300,386.2400,0.000278
FILLER_138_469,VGND,li1,221.9500,386.2400,0.000278
FILLER_138_466,VGND,li1,220.5700,386.2400,0.000278
FILLER_138_463,VGND,li1,219.1900,386.2400,0.000273
FILLER_138_460,VGND,li1,217.8100,386.2400,0.000273
FILLER_138_457,VGND,li1,216.4300,386.2400,0.000269
